Població a 1 de gener. Per sexe
Municipis. 2025
"Font: Idescat, a partir del Padró continu de l'INE."
"Nota: A partir de 2023 el Padró municipal d'habitants només ofereix la xifra de població dels municipis, les comarques i Aran i les províncies.
La xifra total de Catalunya s'ofereix a títol informatiu."
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=pmh&n=446&geo=mun&lang=ca
Codi,Nom,Homes,Dones,Total
171289,Pau,275,285,560
431021,Paüls,283,275,558
171292,Pedret i Marzà,102,106,208
251641,Penelles,248,183,431
171306,"Pera, la",222,225,447
081607,Perafita,222,211,433
431037,Perafort,691,651,1342
171328,Peralada,1028,1049,2077
251654,Peramola,174,165,339
431042,"Perelló, el",1529,1419,2948
081614,Piera,9247,8633,17880
431055,"Piles, les",128,101,229
081635,Pineda de Mar,14898,15210,30108
431068,"Pinell de Brai, el",466,482,948
251667,Pinell de Solsonès,115,83,198
251673,Pinós,148,126,274
431074,Pira,274,238,512
431080,"Pla de Santa Maria, el",1261,1147,2408
081640,"Pla del Penedès, el",692,701,1393
171334,"Planes d'Hostoles, les",883,863,1746
171349,Planoles,179,134,313
259118,"Plans de Sió, els",275,231,506
251689,"Poal, el",323,326,649
251692,"Pobla de Cérvoles, la",115,93,208
081653,"Pobla de Claramunt, la",1209,1141,2350
081666,"Pobla de Lillet, la",533,572,1105
431093,"Pobla de Mafumet, la",2108,2067,4175
431107,"Pobla de Massaluca, la",187,157,344
431114,"Pobla de Montornès, la",1774,1666,3440
251713,"Pobla de Segur, la",1639,1504,3143
431129,Poboleda,179,166,345
081672,Polinyà,4299,4282,8581
431135,"Pont d'Armentera, el",251,249,500
250306,"Pont de Bar, el",95,67,162
171352,Pont de Molins,293,292,585
251734,"Pont de Suert, el",1215,1166,2381
081825,"Pont de Vilomara i Rocafort, el",2166,2027,4193
431418,Pontils,65,59,124
081688,Pontons,294,222,516
171365,Pontós,156,140,296
251728,Ponts,1360,1293,2653
171371,Porqueres,2398,2413,4811
431140,Porrera,213,192,405
171404,"Port de la Selva, el",531,522,1053
171387,Portbou,566,565,1131
251749,"Portella, la",401,330,731
431153,Pradell de la Teixeta,95,87,182
431166,Prades,340,289,629
431172,Prat de Comte,89,85,174
081691,"Prat de Llobregat, el",32420,33918,66338
431188,Pratdip,411,370,781
081712,Prats de Lluçanès,1379,1382,2761
081705,"Prats de Rei, els",303,251,554
251752,Prats i Sansor,135,117,252
251765,Preixana,204,197,401
251771,Preixens,209,190,399
082303,Premià de Dalt,5275,5357,10632
081727,Premià de Mar,14406,15025,29431
171390,"Preses, les",962,986,1948
251790,Prullans,124,146,270
171411,Puigcerdà,5035,5000,10035
081748,Puigdàlber,310,311,621
251804,Puiggròs,135,134,269
431191,Puigpelat,636,586,1222
081751,Puig-reig,2284,2281,4565
251811,Puigverd d'Agramunt,130,101,231
251826,Puigverd de Lleida,731,678,1409
081764,Pujalt,116,88,204
081770,"Quar, la",26,15,41
171426,Quart,2113,2052,4165
170433,Queralbs,109,93,202
431205,Querol,338,273,611
171432,Rabós,106,126,232
081786,Rajadell,313,284,597
431362,"Ràpita, la",7970,8149,16119
431212,Rasquera,387,399,786
171447,Regencós,151,124,275
081799,Rellinars,498,428,926
431227,Renau,86,79,165
431233,Reus,54389,57212,111601
251832,Rialp,325,329,654
431248,"Riba, la",318,256,574
431251,Riba-roja d'Ebre,602,530,1132
259059,Ribera d'Ondara,231,206,437
251850,Ribera d'Urgellet,511,478,989
171450,Ribes de Freser,930,911,1841
171463,Riells i Viabrea,2371,2264,4635
431264,"Riera de Gaià, la",910,924,1834
251863,Riner,132,137,269
171479,Ripoll,5296,5369,10665
081803,Ripollet,19768,20129,39897
259139,Riu de Cerdanya,53,43,96
171485,Riudarenes,1310,1222,2532
171498,Riudaura,265,261,526
431270,Riudecanyes,717,645,1362
431286,Riudecols,650,614,1264
171501,Riudellots de la Selva,1074,1051,2125
431299,Riudoms,3507,3384,6891
171518,Riumors,135,118,253
081810,"Roca del Vallès, la",5535,5479,11014
431303,Rocafort de Queralt,133,114,247
431310,Roda de Berà,4197,4063,8260
081831,Roda de Ter,3532,3405,6937
431325,Rodonyà,282,237,519
431331,Roquetes,4475,4132,8607
171523,Roses,10214,10151,20365
251898,Rosselló,1743,1673,3416
431346,"Rourell, el",195,190,385
081846,Rubí,41018,41805,82823
081859,Rubió,130,95,225
171539,Rupià,155,170,325
089019,Rupit i Pruit,137,143,280
081878,Sabadell,109768,115600,225368
081884,Sagàs,83,71,154
251902,Salàs de Pallars,196,169,365
081901,Saldes,169,133,302
171544,Sales de Llierca,86,78,164
081918,Sallent,3470,3560,7030
431359,Salomó,275,244,519
439057,Salou,15987,15504,31491
171557,Salt,18283,16208,34491
251919,Sanaüja,197,188,385
081944,Sant Adrià de Besòs,19406,19917,39323
081957,Sant Agustí de Lluçanès,54,52,106
081960,Sant Andreu de la Barca,13317,13777,27094
081976,Sant Andreu de Llavaneres,5873,6065,11938
171576,Sant Andreu Salou,81,80,161
171833,Sant Aniol de Finestres,208,174,382
081982,Sant Antoni de Vilamajor,3319,3405,6724
081995,Sant Bartomeu del Grau,497,436,933
082009,Sant Boi de Llobregat,41548,44062,85610
082016,Sant Boi de Lluçanès,319,283,602
082037,Sant Cebrià de Vallalta,2001,1871,3872
082021,Sant Celoni,9467,9510,18977
082042,Sant Climent de Llobregat,2097,2090,4187
171582,Sant Climent Sescebes,408,282,690
082055,Sant Cugat del Vallès,47577,50406,97983
082068,Sant Cugat Sesgarrigues,512,526,1038
251961,Sant Esteve de la Sarga,76,45,121
082074,Sant Esteve de Palautordera,1541,1558,3099
082080,Sant Esteve Sesrovires,4098,4023,8121
171595,Sant Feliu de Buixalleu,448,434,882
082107,Sant Feliu de Codines,3451,3376,6827
171609,Sant Feliu de Guíxols,11331,11810,23141
082114,Sant Feliu de Llobregat,22609,24172,46781
171616,Sant Feliu de Pallerols,894,806,1700
082129,Sant Feliu Sasserra,335,298,633
171621,Sant Ferriol,133,112,245
082093,Sant Fost de Campsentelles,4717,4702,9419
082135,Sant Fruitós de Bages,4641,4692,9333
171637,Sant Gregori,2113,2078,4191
251924,Sant Guim de Freixenet,644,591,1235
251977,Sant Guim de la Plana,93,97,190
171642,Sant Hilari Sacalm,3071,2998,6069
082153,Sant Hipòlit de Voltregà,1864,1802,3666
081939,Sant Iscle de Vallalta,765,712,1477
439023,Sant Jaume d'Enveja,1878,1867,3745
082166,Sant Jaume de Frontanyà,12,13,25
171655,Sant Jaume de Llierca,425,438,863
431378,Sant Jaume dels Domenys,1456,1363,2819
171674,Sant Joan de les Abadesses,1690,1714,3404
171680,Sant Joan de Mollet,265,271,536
082188,Sant Joan de Vilatorrada,5507,5626,11133
082172,Sant Joan Despí,17407,18519,35926
171851,Sant Joan les Fonts,1611,1556,3167
171668,Sant Jordi Desvalls,420,460,880
089030,Sant Julià de Cerdanyola,130,104,234
171693,Sant Julià de Ramis,1869,1846,3715
082205,Sant Julià de Vilatorta,1662,1661,3323
179032,Sant Julià del Llor i Bonmatí,737,720,1457
082212,Sant Just Desvern,10112,10925,21037
082227,Sant Llorenç d'Hortons,1329,1298,2627
171714,Sant Llorenç de la Muga,128,119,247
251930,Sant Llorenç de Morunys,470,513,983
082233,Sant Llorenç Savall,1299,1288,2587
082251,Sant Martí d'Albars,73,62,135
082248,Sant Martí de Centelles,645,618,1263
171729,Sant Martí de Llémena,376,350,726
259025,Sant Martí de Riucorb,351,317,668
